 pattern,→,Support
"({3488}, {1566}, {3488, 1566})",→,326
"({5447}, {5493}, {5493, 5447})",→,406
"({7160}, {6549}, {7160, 6549})",→,240
"({552}, {4811}, {552, 4811})",→,348
"({7125}, {2240, 7125}, {2240})",→,318
"({8208, 7775}, {7775}, {8208})",→,255
"({1946, 4683}, {1946}, {4683})",→,262
"({8969, 2652}, {8969}, {2652})",→,349
"({2722, 1503}, {2722}, {1503})",→,264
"({6312, 1807}, {6312}, {1807})",→,297
"({7088, 9126}, {7088}, {9126})",→,566
"({3308}, {5343}, {3308, 5343}, {7931, 5343}, {7931, 3308}, {7931, 3308, 5343}, {7931})",→,249
